fdc_id,food_name,wweia_category,wweia_category_description,food_group,meal_tags,serving_grams,calories,protein_g,carbohydrate_g,fat_g,fiber_g,sugars_g,sodium_mg,saturated_fat_g,vegetarian,vegan,minimally_processed,source
2709242,"Mango, raw",6024,Mango and papaya,fruit,"breakfast,dinner,lunch",140.0,84.0,1.1,21.0,0.5,2.2,19.1,1.4,0.1,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709227,"Melon, frozen",6014,Melons,fruit,"breakfast,dinner,lunch",140.0,49.0,0.9,11.6,0.2,1.0,10.4,22.4,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709245,"Nectarine, raw",6008,Peaches and nectarines,fruit,"breakfast,dinner,lunch",140.0,60.2,1.5,12.9,0.4,2.1,11.0,18.2,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709174,"Orange, canned, in syrup",6012,Citrus fruits,fruit,"breakfast,dinner,lunch",140.0,77.0,0.8,19.7,0.1,1.0,18.8,7.0,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709173,"Orange, canned, juice pack",6012,Citrus fruits,fruit,"breakfast,dinner,lunch",240.0,88.8,1.5,23.0,0.1,1.7,21.3,12.0,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709171,"Orange, raw",6012,Citrus fruits,fruit,"breakfast,dinner,lunch",140.0,70.0,1.3,16.5,0.2,3.1,12.5,5.6,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709247,"Papaya, canned",6024,Mango and papaya,fruit,"breakfast,dinner,lunch",140.0,72.8,0.5,18.3,0.3,1.8,15.2,9.8,0.1,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709206,"Papaya, dried",6016,Dried fruits,fruit,"breakfast,dinner,lunch",40.0,120.8,0.5,30.2,0.3,1.8,27.0,8.8,0.1,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709246,"Papaya, raw",6024,Mango and papaya,fruit,"breakfast,dinner,lunch",140.0,60.2,0.7,15.1,0.4,2.4,10.9,11.2,0.1,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709248,"Passion fruit, raw",6018,Other fruits and fruit salads,fruit,"breakfast,dinner,lunch",140.0,135.8,3.1,32.7,1.0,14.6,15.7,39.2,0.1,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709251,"Peach, canned, in syrup",6008,Peaches and nectarines,fruit,"breakfast,dinner,lunch",140.0,75.6,0.6,19.0,0.1,1.7,17.4,4.2,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709252,"Peach, canned, juice pack",6008,Peaches and nectarines,fruit,"breakfast,dinner,lunch",240.0,98.4,1.1,24.7,0.2,2.9,21.3,14.4,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709207,"Peach, dried",6016,Dried fruits,fruit,"breakfast,dinner,lunch",40.0,95.6,1.4,24.5,0.3,3.3,16.7,2.8,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709253,"Peach, frozen",6008,Peaches and nectarines,fruit,"breakfast,dinner,lunch",140.0,64.4,1.3,14.1,0.4,2.1,11.7,18.2,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709249,"Peach, raw",6008,Peaches and nectarines,fruit,"breakfast,dinner,lunch",140.0,64.4,1.3,14.1,0.4,2.1,11.7,18.2,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709255,"Pear, Asian, raw",6020,Pears,fruit,"breakfast,dinner,lunch",140.0,58.8,0.7,14.9,0.3,5.0,9.9,0.0,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709257,"Pear, canned, in syrup",6020,Pears,fruit,"breakfast,dinner,lunch",140.0,82.6,0.3,21.2,0.1,2.1,19.0,2.8,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709258,"Pear, canned, juice pack",6020,Pears,fruit,"breakfast,dinner,lunch",240.0,108.0,0.6,28.3,0.2,3.6,24.1,12.0,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709208,"Pear, dried",6016,Dried fruits,fruit,"breakfast,dinner,lunch",40.0,104.8,0.7,27.9,0.3,3.0,24.9,2.4,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709254,"Pear, raw",6020,Pears,fruit,"breakfast,dinner,lunch",140.0,82.6,0.5,21.3,0.2,4.3,13.6,4.2,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709209,"Persimmon, dried",6016,Dried fruits,fruit,"breakfast,dinner,lunch",40.0,149.6,0.6,38.4,0.3,3.8,32.0,1.2,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709259,"Persimmon, raw",6018,Other fruits and fruit salads,fruit,"breakfast,dinner,lunch",140.0,98.0,0.8,26.0,0.3,5.0,17.5,1.4,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709262,"Pineapple, canned, in syrup",6022,Pineapple,fruit,"breakfast,dinner,lunch",140.0,86.8,0.6,21.8,0.2,1.0,20.8,1.4,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709263,"Pineapple, canned, juice pack",6022,Pineapple,fruit,"breakfast,dinner,lunch",240.0,115.2,1.1,29.3,0.3,1.9,27.0,9.6,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709210,"Pineapple, dried",6016,Dried fruits,fruit,"breakfast,dinner,lunch",40.0,138.8,0.5,33.6,0.3,1.0,30.8,0.0,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709264,"Pineapple, frozen",6022,Pineapple,fruit,"breakfast,dinner,lunch",140.0,84.0,0.6,19.7,0.3,1.3,16.0,0.0,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709260,"Pineapple, raw",6022,Pineapple,fruit,"breakfast,dinner,lunch",140.0,84.0,0.6,19.7,0.3,1.3,16.0,0.0,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709266,"Plum, canned",6018,Other fruits and fruit salads,fruit,"breakfast,dinner,lunch",140.0,77.0,0.7,19.0,0.3,1.4,17.4,1.4,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709265,"Plum, raw",6018,Other fruits and fruit salads,fruit,"breakfast,dinner,lunch",140.0,64.4,1.0,16.0,0.4,2.0,13.9,0.0,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709267,"Pomegranate, raw",6018,Other fruits and fruit salads,fruit,"breakfast,dinner,lunch",140.0,116.2,2.3,26.2,1.6,5.6,19.1,4.2,0.2,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709211,"Prune, dried",6016,Dried fruits,fruit,"breakfast,dinner,lunch",40.0,96.0,0.9,25.6,0.2,2.8,15.3,0.8,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709212,Raisins,6016,Dried fruits,fruit,"breakfast,dinner,lunch",140.0,418.6,4.6,111.0,0.4,6.3,91.3,36.4,0.1,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709282,"Raspberries, frozen",6011,Blueberries and other berries,fruit,"breakfast,dinner,lunch",140.0,79.8,1.4,18.1,0.3,9.1,3.8,0.0,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709281,"Raspberries, raw",6011,Blueberries and other berries,fruit,"breakfast,dinner,lunch",140.0,79.8,1.4,18.1,0.3,9.1,3.8,0.0,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709268,Rhubarb,6018,Other fruits and fruit salads,fruit,"breakfast,dinner,lunch",140.0,102.2,1.1,24.4,0.3,2.2,20.2,5.6,0.1,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709228,"Starfruit, raw",6018,Other fruits and fruit salads,fruit,"breakfast,dinner,lunch",140.0,43.4,1.5,9.4,0.5,3.9,5.6,2.8,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709284,"Strawberries, canned",6009,Strawberries,fruit,"breakfast,dinner,lunch",140.0,128.8,0.8,32.9,0.4,2.4,30.6,5.6,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709285,"Strawberries, frozen",6009,Strawberries,fruit,"breakfast,dinner,lunch",140.0,49.0,0.6,12.8,0.2,2.9,6.4,2.8,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709283,"Strawberries, raw",6009,Strawberries,fruit,"breakfast,dinner,lunch",140.0,50.4,0.9,11.1,0.3,2.5,6.8,0.0,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709269,Tamarind,6018,Other fruits and fruit salads,fruit,"breakfast,dinner,lunch",140.0,334.6,3.9,87.5,0.8,7.1,54.3,39.2,0.4,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709175,"Tangerine, raw",6012,Citrus fruits,fruit,"breakfast,dinner,lunch",140.0,74.2,1.1,18.7,0.4,2.5,14.8,2.8,0.1,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709270,"Watermelon, raw",6014,Melons,fruit,"breakfast,dinner,lunch",140.0,42.0,0.9,10.6,0.2,0.6,8.7,1.4,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2707533,Almond butter,2804,Nuts and seeds,healthy_fat,"breakfast,dinner,lunch",18.0,115.4,3.7,3.8,9.5,1.7,0.8,41.8,0.8,True,False,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2707534,"Almond butter, lower sodium",2804,Nuts and seeds,healthy_fat,"breakfast,dinner,lunch",18.0,116.1,3.7,3.8,9.5,1.7,0.8,0.2,0.8,True,False,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2710181,Almond oil,8012,Salad dressings and vegetable oils,healthy_fat,"breakfast,dinner,lunch",10.0,88.4,0.0,0.0,10.0,0.0,0.0,0.0,0.8,True,True,False,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2707535,Almond paste,2804,Nuts and seeds,healthy_fat,"breakfast,dinner,lunch",18.0,82.4,1.6,8.6,5.0,0.9,6.5,1.6,0.5,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2707490,"Almonds, flavored",2804,Nuts and seeds,healthy_fat,"breakfast,dinner,lunch",18.0,107.8,3.6,3.6,9.6,1.9,0.8,90.0,0.8,True,True,False,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2707491,"Almonds, honey roasted",2804,Nuts and seeds,healthy_fat,"breakfast,dinner,lunch",18.0,104.2,2.5,6.5,8.2,1.3,4.5,69.3,0.7,True,False,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2707488,"Almonds, lightly salted",2804,Nuts and seeds,healthy_fat,"breakfast,dinner,lunch",18.0,108.7,3.6,3.7,9.7,1.9,0.8,35.1,0.8,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2707487,"Almonds, salted",2804,Nuts and seeds,healthy_fat,"breakfast,dinner,lunch",18.0,108.2,3.6,3.6,9.6,1.9,0.8,69.5,0.8,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2707486,"Almonds, unroasted",2804,Nuts and seeds,healthy_fat,"breakfast,dinner,lunch",18.0,112.7,3.9,3.6,9.2,1.9,0.8,0.0,0.7,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2707489,"Almonds, unsalted",2804,Nuts and seeds,healthy_fat,"breakfast,dinner,lunch",18.0,109.3,3.7,3.7,9.7,1.9,0.8,0.5,0.8,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2710208,Avocado dressing,8012,Salad dressings and vegetable oils,healthy_fat,"breakfast,dinner,lunch",10.0,42.7,0.2,0.7,4.3,0.0,0.7,86.7,0.6,True,True,False,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2710198,Bacon and tomato dressing,8012,Salad dressings and vegetable oils,healthy_fat,"breakfast,dinner,lunch",10.0,32.6,0.2,0.2,3.5,0.0,0.2,90.5,0.5,False,False,False,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2710197,Blue or roquefort cheese dressing,8012,Salad dressings and vegetable oils,healthy_fat,"breakfast,dinner,lunch",10.0,48.4,0.1,0.5,5.1,0.0,0.3,64.2,0.8,True,False,False,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2710216,"Blue or roquefort cheese dressing, light",8012,Salad dressings and vegetable oils,healthy_fat,"breakfast,dinner,lunch",10.0,30.0,0.1,1.5,2.6,0.1,0.5,72.8,0.4,True,False,False,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
